,acousticness,album_id,album_name,analysis_url,artist_ids,artist_names,danceability,disc_number,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,popularity,preview_url,song_id,song_name,speechiness,tempo,time_signature,track_href,track_number,valence
0,0.584,5iIWnMgvSM8uEBwXKsPcXM,Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),https://api.spotify.com/v1/audio-analysis/2kkvB3RNRzwjFdGhaUA0tz,2rc78XDH9zuJP6bm78lU8Z,Derek & The Dominos,0.394,1,423840,0.918,0.332,1,0.309,-3.743,1,74,,2kkvB3RNRzwjFdGhaUA0tz,Layla - 40th Anniversary Version / 2010 Remastered,0.0709,115.646,4,https://api.spotify.com/v1/tracks/2kkvB3RNRzwjFdGhaUA0tz,13,0.479
1,0.0832,257oomaawruFknt5wYCPDh,Band On The Run (Standard),https://api.spotify.com/v1/audio-analysis/1H4idkmruFoJBg1DvUv2tY,"4STHEaNw4mPZ2tzheohgXB,3sFhA6G1N0gG1pszb6kk1m","Paul McCartney,Wings",0.479,1,313027,0.601,0.00142,7,0.11,-8.806,1,68,,1H4idkmruFoJBg1DvUv2tY,Band On The Run - Remastered 2010,0.0318,124.966,4,https://api.spotify.com/v1/tracks/1H4idkmruFoJBg1DvUv2tY,1,0.669
2,0.607,1zcm3UvHNHpseYOUfd0pna,Breakfast In America (Deluxe Edition),https://api.spotify.com/v1/audio-analysis/67oyFnjJnn78fZP9KjeZx0,3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,0.42,1,350573,0.668,0.016,1,0.0585,-7.35,1,65,,67oyFnjJnn78fZP9KjeZx0,Goodbye Stranger - 2010 Remastered,0.0517,125.391,4,https://api.spotify.com/v1/tracks/67oyFnjJnn78fZP9KjeZx0,3,0.338
3,0.286,6CrjpyjlfjK95oHF6dvEnQ,Lean Into It [Expanded],https://api.spotify.com/v1/audio-analysis/3Mmt6Xk0H6VR92PEp6x3hP,5OfhOoKunSnuubxxRML8J3,Mr. Big,0.688,1,210480,0.375,0.0,4,0.133,-9.601,1,71,https://p.scdn.co/mp3-preview/80fffd2479bd0f60353c82250dba7a453e0f6120?cid=6d24f4609a484836999313e6e4f33db8,3Mmt6Xk0H6VR92PEp6x3hP,To Be With You - 2010 Remastered Version,0.0535,83.635,4,https://api.spotify.com/v1/tracks/3Mmt6Xk0H6VR92PEp6x3hP,11,0.45
4,0.000989,2KPhpTUihx9KRWRwBtpTeJ,Substance,https://api.spotify.com/v1/audio-analysis/1r8oPEXqnhUVgkUkJNqEuF,432R46LaYsJZV2Gmc4jUV5,Joy Division,0.525,1,204621,0.902,0.691,2,0.137,-8.662,1,64,https://p.scdn.co/mp3-preview/9a48243fc19a0aabc3ce7e51f3d73b700a02dac6?cid=6d24f4609a484836999313e6e4f33db8,1r8oPEXqnhUVgkUkJNqEuF,Love Will Tear Us Apart - 2010 Remastered Version,0.0368,146.83,4,https://api.spotify.com/v1/tracks/1r8oPEXqnhUVgkUkJNqEuF,10,0.907
5,0.512,1zcm3UvHNHpseYOUfd0pna,Breakfast In America (Deluxe Edition),https://api.spotify.com/v1/audio-analysis/6mHOcVtsHLMuesJkswc0GZ,3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,0.625,1,251253,0.758,0.00022,5,0.153,-6.213,0,70,,6mHOcVtsHLMuesJkswc0GZ,The Logical Song - Remastered 2010,0.0463,119.719,4,https://api.spotify.com/v1/tracks/6mHOcVtsHLMuesJkswc0GZ,2,0.695
6,0.00627,3pzQF7YgU1f66pBayA8uHv,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),https://api.spotify.com/v1/audio-analysis/2Cd9iWfcOpGDHLz6tVA3G4,"0EmeFodog0BfCgMzAIvKQp,7AcV1lk8Zrgo1691PDWEle","Shakira,Freshlyground",0.766,1,202627,0.873,0.0,11,0.0764,-6.381,0,74,https://p.scdn.co/mp3-preview/f01830f7be6c8b654d44c8f7a1f1d06756ab920f?cid=6d24f4609a484836999313e6e4f33db8,2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],0.143,126.988,4,https://api.spotify.com/v1/tracks/2Cd9iWfcOpGDHLz6tVA3G4,1,0.743
7,0.22,1zcm3UvHNHpseYOUfd0pna,Breakfast In America (Deluxe Edition),https://api.spotify.com/v1/audio-analysis/0v0XYK0pLgsPiq5u4FKHaw,3JsMj0DEzyWc0VDlHuy9Bx,Supertramp,0.414,1,308853,0.7,0.000721,5,0.114,-8.838,1,64,,0v0XYK0pLgsPiq5u4FKHaw,Take The Long Way Home - 2010 Remastered,0.0301,76.79,4,https://api.spotify.com/v1/tracks/0v0XYK0pLgsPiq5u4FKHaw,6,0.37
8,0.495,362Gq4moTnxkud6hQEKsm1,Sleeper Catcher (Remastered),https://api.spotify.com/v1/audio-analysis/3fn87ydk7ihtvVr8EwjYvr,6clbbhnIqpHnqxwtOWcilg,Little River Band,0.457,1,297633,0.328,1.13e-05,2,0.0624,-11.928,1,56,,3fn87ydk7ihtvVr8EwjYvr,Lady - 2010 Digital Remaster,0.0345,121.187,4,https://api.spotify.com/v1/tracks/3fn87ydk7ihtvVr8EwjYvr,6,0.329
9,0.877,0xzaemKucrJpYhyl7TltAk,Imagine,https://api.spotify.com/v1/audio-analysis/3D9iV6cYkYJRAPFO6DRKIE,"4x1nvY2FN8jxqAFA0DA02H,4m2kfAHEnK7Z7qLGxeWtro,5JRQN1PslNH3W77jakgryr","John Lennon,The Plastic Ono Band,The Flux Fiddlers",0.489,1,257787,0.389,0.32,4,0.105,-11.653,0,66,,3D9iV6cYkYJRAPFO6DRKIE,Jealous Guy - Remastered 2010,0.0284,131.366,4,https://api.spotify.com/v1/tracks/3D9iV6cYkYJRAPFO6DRKIE,3,0.254
10,0.177,2k5XYJN31jQz577blA1Xod,No Dice (Remastered 2010 / Deluxe Edition),https://api.spotify.com/v1/audio-analysis/0zK545STj6P7qbFSpCK9pp,4pJCawaKSZ40EnxN0YEYw3,Badfinger,0.529,1,180547,0.743,0.0,9,0.0759,-5.523,1,57,,0zK545STj6P7qbFSpCK9pp,No Matter What - Remastered 2010,0.0481,116.817,4,https://api.spotify.com/v1/tracks/0zK545STj6P7qbFSpCK9pp,5,0.78
11,0.0186,0BWOueFZKxQrQWNRt20Lvc,Straight Up (Remastered 2010 / Deluxe Edition),https://api.spotify.com/v1/audio-analysis/6S3JlDAGk3uu3NtZbPnuhS,4pJCawaKSZ40EnxN0YEYw3,Badfinger,0.623,1,217347,0.877,0.0144,11,0.0729,-7.788,1,58,,6S3JlDAGk3uu3NtZbPnuhS,Baby Blue - Remastered 2010,0.066,124.432,4,https://api.spotify.com/v1/tracks/6S3JlDAGk3uu3NtZbPnuhS,2,0.517
