,acousticness,album_id,album_name,analysis_url,artist_ids,artist_names,danceability,disc_number,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,popularity,preview_url,song_id,song_name,speechiness,tempo,time_signature,track_href,track_number,valence
0,0.678,5fnE49AqsSBaLC62nfo3q1,Northern Lights-Southern Cross (Expanded Edition),https://api.spotify.com/v1/audio-analysis/2fx1hkMHTVdDim274rwoPa,4vpDg7Y7fU982Ds30zawDA,The Band,0.831,1,212800,0.683,0.00197,0,0.332,-7.403,1,58,,2fx1hkMHTVdDim274rwoPa,Ophelia - Remastered 2000,0.0285,92.31,4,https://api.spotify.com/v1/tracks/2fx1hkMHTVdDim274rwoPa,3,0.948
1,0.177,0YvYmLBFFwYxgI4U9KKgUm,Gorillaz,https://api.spotify.com/v1/audio-analysis/1kSWrMDt439cT64WpjJigW,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,0.815,1,210880,0.72,7.31e-06,7,0.16,-7.311,1,53,https://p.scdn.co/mp3-preview/7cabceed47ab219fcb82ae558535e5d9825072f3?cid=6d24f4609a484836999313e6e4f33db8,1kSWrMDt439cT64WpjJigW,19-2000,0.0536,89.916,4,https://api.spotify.com/v1/tracks/1kSWrMDt439cT64WpjJigW,11,0.946
2,0.226,0nPrnmv6maJLLaPpy1cWGB,The Band (Expanded Edition),https://api.spotify.com/v1/audio-analysis/60VcYHxoyOdZyFb1EaKJdN,4vpDg7Y7fU982Ds30zawDA,The Band,0.72,1,274893,0.716,0.00335,9,0.0932,-8.773,1,57,,60VcYHxoyOdZyFb1EaKJdN,Up On Cripple Creek - Remastered 2000,0.0723,144.376,4,https://api.spotify.com/v1/tracks/60VcYHxoyOdZyFb1EaKJdN,5,0.953
3,0.372,3Py3PX0OLCIIEJnWJ98zWa,2000 Rounds,https://api.spotify.com/v1/audio-analysis/5zjdL4aLh3D3wOKeRkZSL6,"4nXOZlYoAD67hF9aUEncMY,3uL4UpqShC4p2x1dJutoRW","Pouya,Ghostemane",0.577,1,122483,0.692,0.0596,11,0.0989,-5.96,1,55,https://p.scdn.co/mp3-preview/95b0463c4ee52efcd2688b6b1ebe51e949f86e49?cid=6d24f4609a484836999313e6e4f33db8,5zjdL4aLh3D3wOKeRkZSL6,2000 Rounds,0.64,144.702,4,https://api.spotify.com/v1/tracks/5zjdL4aLh3D3wOKeRkZSL6,1,0.0658
4,0.00292,48NYXFdasUBuSeO3RAolt3,Learning To Crawl [Expanded and Remastered],https://api.spotify.com/v1/audio-analysis/5wTM2Bm8phDwHAuOsfBwhU,0GByy3DcfbQwDvXGCWmzv9,Pretenders,0.22,1,220427,0.708,0.0267,7,0.102,-9.051,1,67,https://p.scdn.co/mp3-preview/c6c5576e1db91ae26f9dc5d7213a0622a9bc51f5?cid=6d24f4609a484836999313e6e4f33db8,5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 Remaster,0.035,66.214,4,https://api.spotify.com/v1/tracks/5wTM2Bm8phDwHAuOsfBwhU,10,0.453
5,0.243,4AxJWv0DDSY96U5ETJcCaY,Stage Fright (Expanded Edition),https://api.spotify.com/v1/audio-analysis/4Qs8uJL6dhsJJKl2rX8a9F,"4vpDg7Y7fU982Ds30zawDA,0Lpr5wXzWLtDWm1SjNbpPb","The Band,Todd Rundgren",0.723,1,240573,0.672,0.00373,7,0.299,-7.875,1,52,,4Qs8uJL6dhsJJKl2rX8a9F,The Shape I'm In - Remastered 2000,0.0356,128.079,4,https://api.spotify.com/v1/tracks/4Qs8uJL6dhsJJKl2rX8a9F,6,0.958
6,0.194,3EqJvDO7ffoOKV9da4LvSq,The Singles Collection 2001-2011,https://api.spotify.com/v1/audio-analysis/2EC2GG0fHeWJ6uhAAHdMGl,3AA28KZvwAUcZuOKwyblJQ,Gorillaz,0.672,1,209387,0.896,0.0,0,0.299,-3.986,1,48,https://p.scdn.co/mp3-preview/9ce4843457d4dc0876e1fc8c0c9a4c5926f12a01?cid=6d24f4609a484836999313e6e4f33db8,2EC2GG0fHeWJ6uhAAHdMGl,19-2000 - Soulchild Remix,0.0526,102.045,4,https://api.spotify.com/v1/tracks/2EC2GG0fHeWJ6uhAAHdMGl,15,0.895
7,0.0156,3ly9T2L4pqTZijFgQssd3x,Different Class,https://api.spotify.com/v1/audio-analysis/2aC8wwfrM0YeTAzzk8hxqC,36E7oYfz3LLRto6l2WmDcD,Pulp,0.562,1,273573,0.894,0.0,7,0.0529,-7.524,0,65,,2aC8wwfrM0YeTAzzk8hxqC,Disco 2000,0.0667,133.169,4,https://api.spotify.com/v1/tracks/2aC8wwfrM0YeTAzzk8hxqC,5,0.578
8,0.0205,1qckOQFk4BgVa3LgikznMD,Revelation 2000,https://api.spotify.com/v1/audio-analysis/4JqPzinQthkq0NMnWLJG0G,35GnZFTAWk2RLgqLWlpPbE,DJ King Assassin,0.861,1,181238,0.724,0.0,11,0.128,-8.619,0,52,https://p.scdn.co/mp3-preview/d1cfd66763f94c86412c89c9483d794fd5f21456?cid=6d24f4609a484836999313e6e4f33db8,4JqPzinQthkq0NMnWLJG0G,Hot Sexxx (feat. Toni)(@DjKingAssassin Mix Mix) - @DjKingAssassin Mix,0.158,101.972,4,https://api.spotify.com/v1/tracks/4JqPzinQthkq0NMnWLJG0G,9,0.85
9,0.149,4JE1y26eNEp6mRX2J9nq3q,"Train of Thought: Lost Lyrics, Rare Releases & Beautiful B-Sides, Vol. 1",https://api.spotify.com/v1/audio-analysis/0uCIPyaPjArUBR1dyGiRfs,0lEssBAxQl2In4RpaB1C2Y,Talib Kweli,0.767,1,253068,0.732,0.0,10,0.923,-4.297,0,51,https://p.scdn.co/mp3-preview/3e2182151ab2841671184c399f74617e4f7f0c21?cid=6d24f4609a484836999313e6e4f33db8,0uCIPyaPjArUBR1dyGiRfs,2000 Seasons,0.355,93.108,4,https://api.spotify.com/v1/tracks/0uCIPyaPjArUBR1dyGiRfs,2,0.843
10,0.0611,5D0qg59CW2bRpo2DawgpIW,2000,https://api.spotify.com/v1/audio-analysis/3nqnWEZnYoetfO2ksMZZVK,6IjhOxJSTPh15KgFTSZ68K,Grand Puba,0.865,1,263533,0.641,0.000107,10,0.218,-6.652,0,54,https://p.scdn.co/mp3-preview/5fd21e63d1a82bcf1ca311f5a46c856bb81a7ba2?cid=6d24f4609a484836999313e6e4f33db8,3nqnWEZnYoetfO2ksMZZVK,I Like It (I Wanna Be Where You Are),0.162,95.307,4,https://api.spotify.com/v1/tracks/3nqnWEZnYoetfO2ksMZZVK,2,0.762
11,0.711,4VEpFmuBpIMHBtynE2wcVl,Classic Sinatra - His Great Performances 1953-1960,https://api.spotify.com/v1/audio-analysis/24C5ft0x93vqND1buSn8ZL,1Mxqyy3pSjf8kZZL4QVxS0,Frank Sinatra,0.54,1,130600,0.301,0.0,2,0.261,-10.154,1,54,,24C5ft0x93vqND1buSn8ZL,I've Got The World On A String - Remastered 2000,0.0519,124.635,4,https://api.spotify.com/v1/tracks/24C5ft0x93vqND1buSn8ZL,1,0.57
12,0.474,2NHUkx5kUzp2r2laL2fonJ,Natalia Lafourcade,https://api.spotify.com/v1/audio-analysis/2cVJwPD5CaTx2kBZyomzGN,1hcdI2N1023RvSwLzTtdsp,Natalia Lafourcade,0.546,1,215000,0.678,0.0,7,0.353,-7.733,1,63,https://p.scdn.co/mp3-preview/5b54cbac8e0a2b5f442aee2bbeea0aaffaa1fc06?cid=6d24f4609a484836999313e6e4f33db8,2cVJwPD5CaTx2kBZyomzGN,En el 2000,0.0819,95.027,4,https://api.spotify.com/v1/tracks/2cVJwPD5CaTx2kBZyomzGN,3,0.825
13,0.149,5enrwnFolNIwjEBzknZo6P,"The Very Best of Freddie Mercury Solo: Lover Of Life, Singer Of Songs",https://api.spotify.com/v1/audio-analysis/2bQd3uN3quDT3gEVvxN0ik,4M1FpEWs2PeYfJe7xxJfhH,Freddie Mercury,0.343,1,233613,0.482,4.93e-06,7,0.852,-7.864,1,45,,2bQd3uN3quDT3gEVvxN0ik,In My Defence - 2000 Remix,0.0277,76.949,4,https://api.spotify.com/v1/tracks/2bQd3uN3quDT3gEVvxN0ik,1,0.092
14,0.487,1WvYZcG9v3WzzNNkwpreGq,The Chiffons Absolutetly The Best!,https://api.spotify.com/v1/audio-analysis/2Bs1Lw9LX8hBm70t1iGdlh,05sIdEkXAYDbDDdv3T56Oj,The Chiffons,0.558,1,112520,0.633,0.0,7,0.129,-3.265,1,49,,2Bs1Lw9LX8hBm70t1iGdlh,He's So Fine - Remastered 2000,0.0329,72.494,4,https://api.spotify.com/v1/tracks/2Bs1Lw9LX8hBm70t1iGdlh,1,0.871
15,0.00171,2SE7fs002NlNc3cw3SQLRC,Their Satanic Majesties Request (50th Anniversary Special Edition / Remastered),https://api.spotify.com/v1/audio-analysis/2iZEOHx7XZGZUglo3gI9a7,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,0.423,1,187627,0.537,0.0169,9,0.466,-5.428,1,54,,2iZEOHx7XZGZUglo3gI9a7,2000 Man - Remastered 2017 / Stereo,0.042,122.384,4,https://api.spotify.com/v1/tracks/2iZEOHx7XZGZUglo3gI9a7,4,0.343
16,0.000349,3HugnfabsMODIbxzwxS5xC,"Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head",https://api.spotify.com/v1/audio-analysis/1NbJFhkVdD47YZ2IojKkJi,0CF71zaDOJWCynIkW9bSK8,White Zombie,0.684,1,268760,0.906,0.55,8,0.103,-6.661,0,55,,1NbJFhkVdD47YZ2IojKkJi,More Human Than Human,0.0775,101.46,4,https://api.spotify.com/v1/tracks/1NbJFhkVdD47YZ2IojKkJi,8,0.555
17,0.163,5fnE49AqsSBaLC62nfo3q1,Northern Lights-Southern Cross (Expanded Edition),https://api.spotify.com/v1/audio-analysis/6sJlkqZqUOLXjWKJrDgRmd,4vpDg7Y7fU982Ds30zawDA,The Band,0.493,1,402507,0.593,0.0,5,0.0829,-8.734,1,46,,6sJlkqZqUOLXjWKJrDgRmd,Acadian Driftwood - Remastered 2000,0.0283,157.842,4,https://api.spotify.com/v1/tracks/6sJlkqZqUOLXjWKJrDgRmd,4,0.715
18,0.921,3XuM5Fw4ZLnPS2bRRsF5sb,2000,https://api.spotify.com/v1/audio-analysis/6xEXnkkgtztJEXtNAG85SL,1AmV20MH7X5FNu6RNOaQwn,Fortnight,0.865,1,91179,0.314,0.926,4,0.095,-7.914,0,48,https://p.scdn.co/mp3-preview/f8112af7fd21f6bfd6e54886502c54a3bbd356c5?cid=6d24f4609a484836999313e6e4f33db8,6xEXnkkgtztJEXtNAG85SL,2000,0.133,83.998,4,https://api.spotify.com/v1/tracks/6xEXnkkgtztJEXtNAG85SL,1,0.808
19,0.275,530wst7qkLIEeDYkOJXWzZ,2000 Watts,https://api.spotify.com/v1/audio-analysis/7FFQsnjzumC6eyCXRFPQ2f,08p7B5OtcUuVblvkQIlBhJ,Tyrese,0.69,1,280000,0.475,0.0,10,0.0951,-4.702,0,47,https://p.scdn.co/mp3-preview/f6009701b14f0e1ae961d6afed0bae3293c208c5?cid=6d24f4609a484836999313e6e4f33db8,7FFQsnjzumC6eyCXRFPQ2f,What Am I Gonna Do,0.052,145.597,4,https://api.spotify.com/v1/tracks/7FFQsnjzumC6eyCXRFPQ2f,8,0.536
20,0.548,1kVipwgtVNAaHM7Py341Ch,The Age Of Aquarius,https://api.spotify.com/v1/audio-analysis/0bzNvVatHKKtAudmRvar8J,1UUYAQ9LiRsZF0ZukQNWXM,The 5th Dimension,0.481,1,164600,0.673,0.0,9,0.135,-5.41,0,46,https://p.scdn.co/mp3-preview/8ba32417a004fba0df9ec9d855d8d7bf0db9dbe8?cid=6d24f4609a484836999313e6e4f33db8,0bzNvVatHKKtAudmRvar8J,Wedding Bell Blues - Remastered 2000,0.0321,118.051,4,https://api.spotify.com/v1/tracks/0bzNvVatHKKtAudmRvar8J,4,0.615
21,8.88e-05,6IvosVciDOQ9NAPaKwhtLY,The Sickness,https://api.spotify.com/v1/audio-analysis/3iTGqLgYo57UjTHAieDOlA,3TOqt5oJwL9BE2NG9MEwDa,Disturbed,0.606,1,258053,0.951,6.49e-05,11,0.0441,-4.644,1,46,https://p.scdn.co/mp3-preview/952d9e3157e7ffe04900cb2bc9cc568d875c0414?cid=6d24f4609a484836999313e6e4f33db8,3iTGqLgYo57UjTHAieDOlA,Shout 2000,0.0465,97.858,4,https://api.spotify.com/v1/tracks/3iTGqLgYo57UjTHAieDOlA,10,0.67
22,0.284,4AxJWv0DDSY96U5ETJcCaY,Stage Fright (Expanded Edition),https://api.spotify.com/v1/audio-analysis/7uYK13jsmGi8flq2bF6r90,"4vpDg7Y7fU982Ds30zawDA,0Lpr5wXzWLtDWm1SjNbpPb","The Band,Todd Rundgren",0.602,1,223693,0.634,0.000301,0,0.105,-8.954,1,45,,7uYK13jsmGi8flq2bF6r90,Stage Fright - Remastered 2000,0.0336,113.544,4,https://api.spotify.com/v1/tracks/7uYK13jsmGi8flq2bF6r90,9,0.641
23,0.208,56TmtkBepKW3eZKiRjEl0M,Holland (2000 Remaster),https://api.spotify.com/v1/audio-analysis/3U4hSjTlK6WU0wORlAne9H,3oDbviiivRWhXwIE8hxkVV,The Beach Boys,0.627,1,202427,0.631,0.0,9,0.144,-10.76,0,47,,3U4hSjTlK6WU0wORlAne9H,"Sail On, Sailor - Remastered 2000",0.0245,109.983,3,https://api.spotify.com/v1/tracks/3U4hSjTlK6WU0wORlAne9H,1,0.679
24,0.244,3Sy5T1Te55s9B8K4jeOFKK,Ska & Reggae Classics,https://api.spotify.com/v1/audio-analysis/5WUAZZPnLetCOjdgTaHnLp,6ZFv3wQwwWPiVDWhv0mjQK,Toots & The Maytals,0.772,1,204213,0.775,0.00575,7,0.104,-6.454,1,51,https://p.scdn.co/mp3-preview/5d8ce05043d2809a953d62c0e0622b632fc26488?cid=6d24f4609a484836999313e6e4f33db8,5WUAZZPnLetCOjdgTaHnLp,Broadway Jungle - 2000 Version,0.0406,117.961,4,https://api.spotify.com/v1/tracks/5WUAZZPnLetCOjdgTaHnLp,60,0.839
25,0.00176,1UShup0VvfxhxS7j3Omxh2,Kerplunk! (U.S. Version),https://api.spotify.com/v1/audio-analysis/6pM25DLzJb5oWj74d3ElXI,7oPftvlwr6VrsViSDV7fJY,Green Day,0.206,1,144627,0.99,8.07e-05,10,0.335,-3.565,1,44,https://p.scdn.co/mp3-preview/64c3f48c429c55a2a369c974cfca6c30127532e6?cid=6d24f4609a484836999313e6e4f33db8,6pM25DLzJb5oWj74d3ElXI,2000 Light Years Away,0.13,187.433,4,https://api.spotify.com/v1/tracks/6pM25DLzJb5oWj74d3ElXI,1,0.666
26,0.0225,5I099NUhbRrXaxnxQagElv,The Best Of 1990-2000,https://api.spotify.com/v1/audio-analysis/5t514bZ4eZPtKJbKfuZJCA,51Blml2LZPmy7TTiAg47vQ,U2,0.54,1,244867,0.913,0.00157,2,0.344,-6.887,1,51,,5t514bZ4eZPtKJbKfuZJCA,Beautiful Day,0.0483,136.265,4,https://api.spotify.com/v1/tracks/5t514bZ4eZPtKJbKfuZJCA,3,0.452
27,0.01,4o3X0kTMB8nTQP1hMJ2uNB,Dance Vault Remixes - It's Not Right But It's Okay,https://api.spotify.com/v1/audio-analysis/5OqmLY18KXsZR1aGrXP3ZI,"6XpaIBNiVzIetEPCWDvAFP,1PLakF1tFiv9zn73N2UjaN,0v4es8yvR06oDJWG57Fxi8","Whitney Houston,Chris Cox,Barry Harris",0.735,1,256640,0.944,0.00307,8,0.048,-4.872,1,54,https://p.scdn.co/mp3-preview/e1ab5c4b6e550e397422e3edc7955a9f55630e69?cid=6d24f4609a484836999313e6e4f33db8,5OqmLY18KXsZR1aGrXP3ZI,It's Not Right but It's Okay - Thunderpuss Mix/Remastered: 2000,0.041,129.994,4,https://api.spotify.com/v1/tracks/5OqmLY18KXsZR1aGrXP3ZI,1,0.76
28,0.0426,10bobqzP8mtragmflBolOM,Neon Ballroom,https://api.spotify.com/v1/audio-analysis/3J19l4hOfwFFIF715BwVcG,4iudEcmuPlYNdbP3e1bdn1,Silverchair,0.325,1,247787,0.768,4.04e-06,2,0.27,-7.51,1,51,https://p.scdn.co/mp3-preview/7274a1e0da07c0f6bafbc842642cc8227f2c59c9?cid=6d24f4609a484836999313e6e4f33db8,3J19l4hOfwFFIF715BwVcG,Anthem for the Year 2000,0.0491,176.6,4,https://api.spotify.com/v1/tracks/3J19l4hOfwFFIF715BwVcG,2,0.454
29,0.0497,6frjpRu2P0fdF9xSS9stjY,Glastonbury 2000 (Live),https://api.spotify.com/v1/audio-analysis/1L12V5VX4tOcsk3vjIGLvO,0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,0.305,2,323213,0.939,0.000248,2,0.988,-8.134,1,51,https://p.scdn.co/mp3-preview/ea96f82ed3a92cb0dd5ac49e432344569f843312?cid=6d24f4609a484836999313e6e4f33db8,1L12V5VX4tOcsk3vjIGLvO,"Under Pressure - Live, Glastonbury, 2000",0.192,112.94,4,https://api.spotify.com/v1/tracks/1L12V5VX4tOcsk3vjIGLvO,7,0.21
